,symbol,date,coin_name,coin_price,compound_average,positive_average,neutral_average,negative_average
131,ETH,4/22/2017,ethereum,48.41,0.08252,0.06004,0.91288,0.02708
132,XRP,4/22/2017,ripple,0.0316,-0.080692,0.00692,0.95444,0.03864
133,BCH,4/22/2017,bitcoin cash,0,0.09076,0.06552,0.91216,0.02232
134,ADA,4/22/2017,cardano,0,-0.016472,0.07852,0.8676,0.05392
135,LTC,4/22/2017,litecoin,14.05,0.18712,0.11232,0.87764,0.01004
136,XLM,4/22/2017,stellar,0.003499,0.191732,0.12368,0.83732,0.03904
137,NEO,4/22/2017,neo,0.1802,0.027772,0.0584,0.92108,0.02052
138,EOS,4/22/2017,eos,0,-0.089016,0.02604,0.91868,0.05532
139,XEM,4/22/2017,nem,0.03201,-0.025616,0.0048,0.97652,0.01868
140,BTC,4/23/2017,bitcoin,1249.14,0.170956,0.12284,0.85096,0.0262
141,ETH,4/23/2017,ethereum,48.75,0.06018,0.05824,0.91932,0.02244
142,XRP,4/23/2017,ripple,0.03141,0.009704,0.066,0.8802,0.0538
143,BCH,4/23/2017,bitcoin cash,0,0.143496,0.09888,0.84036,0.0608
144,ADA,4/23/2017,cardano,0,0.068544,0.0676,0.92396,0.00844
145,LTC,4/23/2017,litecoin,15.15,0.079056,0.10372,0.8576,0.03868
146,XLM,4/23/2017,stellar,0.003502,0.13424,0.09864,0.84424,0.05716
147,NEO,4/23/2017,neo,0.1749,0.022768,0.01664,0.97536,0.008
148,EOS,4/23/2017,eos,0,-0.021896,0.06564,0.88256,0.05176
149,XEM,4/23/2017,nem,0.03217,-0.07476,0,0.96392,0.03608
150,BTC,4/24/2017,bitcoin,1248.18,0.109592,0.07032,0.91224,0.01744
151,ETH,4/24/2017,ethereum,49.94,0.124344,0.09152,0.8812,0.02728
152,XRP,4/24/2017,ripple,0.03151,0.123524,0.05516,0.93416,0.01068
153,BCH,4/24/2017,bitcoin cash,0,0.094296,0.07028,0.89688,0.03284
154,ADA,4/24/2017,cardano,0,-0.075228,0,0.9474,0.0526
155,LTC,4/24/2017,litecoin,14.87,0.034184,0.06832,0.88392,0.04776
156,XLM,4/24/2017,stellar,0.004,0.357472,0.18044,0.80724,0.01236
157,NEO,4/24/2017,neo,0.172,0.057448,0.04784,0.91688,0.03524
158,EOS,4/24/2017,eos,0,-0.028624,0.03404,0.91872,0.0472
159,XEM,4/24/2017,nem,0.03421,0.049536,0.04068,0.94808,0.01124
160,BTC,4/25/2017,bitcoin,1264.31,0.021516,0.05828,0.91208,0.02964
161,ETH,4/25/2017,ethereum,50.09,0.10624,0.10664,0.86324,0.03012
162,XRP,4/25/2017,ripple,0.03224,0.145192,0.06984,0.925,0.00516
163,BCH,4/25/2017,bitcoin cash,0,2.40E-05,0.03,0.93204,0.03796
164,ADA,4/25/2017,cardano,0,-0.06884,0,0.9392,0.0608
